Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.98     0.00   137500     0.00     0.00  prdgam_ (ggm05.f:2187)
  0.00      0.98     0.00    18274     0.00     0.00  chkcll_ (ggs01.f:38)
  0.00      0.98     0.00    15996     0.00     0.00  lgeval_ (ggs00.f:3613)
  0.00      0.98     0.00    11130     0.00     0.00  samvel_ (ggm05.f:3519)
  0.00      0.98     0.00    11130     0.00     0.00  xstcol_ (ggm05.f:3678)
  0.00      0.98     0.00    10874     0.00     0.00  xstgam_ (ggm04.f:1076)
  0.00      0.98     0.00    10010     0.00     0.00  resetitrminmax_ (itrminmax.f:52)
  0.00      0.98     0.00     9136     0.00     0.00  spjpn_ (a-wtext.f:241)
  0.00      0.98     0.00     7731     0.00     0.00  ichgf_ (utl02.f:149)
  0.00      0.98     0.00     7501     0.00     0.00  nxtsym_ (ggm03.f:162)
  0.00      0.98     0.00     7455     0.00     0.00  numec_ (a-wtext.f:3044)
  0.00      0.98     0.00     7404     0.00     0.00  fcell_ (ggs01.f:793)
  0.00      0.98     0.00     7404     0.00     0.00  ggmnew_ (ggs02.f:875)
  0.00      0.98     0.00     7404     0.00     0.00  gomnew_ (geocntl.f:182)
  0.00      0.98     0.00     6005     0.00     0.00  zaid_ (ggm03.f:73)
  0.00      0.98     0.00     5404     0.00     0.00  angl_ (ggs01.f:1373)
  0.00      0.98     0.00     4862     0.00     0.00  rmtyp_ (utl02.f:3)
  0.00      0.98     0.00     4861     0.00     0.00  setsuf_ (ggs03.f:212)
  0.00      0.98     0.00     2240     0.00     0.00  psuf5_ (a-wtext.f:2840)
  0.00      0.98     0.00     2235     0.00     0.00  psuf1_ (a-wtext.f:2311)
  0.00      0.98     0.00     2235     0.00     0.00  psuf4_ (a-wtext.f:2683)
  0.00      0.98     0.00     2230     0.00     0.00  psuf2_ (a-wtext.f:2451)
  0.00      0.98     0.00     2230     0.00     0.00  psuf3_ (a-wtext.f:2559)
  0.00      0.98     0.00     2230     0.00     0.00  psuf6_ (a-wtext.f:2938)
  0.00      0.98     0.00     2002     0.00     0.00  __ggbankmod_MOD_init_ggbank (ggbankmod.f:25)
  0.00      0.98     0.00     2000     0.00     0.00  advijk_ (randmc.f:186)
  0.00      0.98     0.00     2000     0.00     0.00  advijk_xorshift64_ (randmc.f:297)
  0.00      0.98     0.00     2000     0.00     0.00  initsk_ (ggs01.f:3)
  0.00      0.98     0.00     2000     0.00     0.00  ionts_setup_ (kurbuc.f:3)
  0.00      0.98     0.00     2000     0.00     0.00  sors_ (sors.f:3)
  0.00      0.98     0.00     1660     0.00     0.00  deqn3_ (a-utl00.f:749)
  0.00      0.98     0.00     1580     0.00     0.00  chars1_ (a-wtext.f:3875)
  0.00      0.98     0.00     1575     0.00     0.00  chars2_ (a-wtext.f:4127)
  0.00      0.98     0.00     1540     0.00     0.00  premc_ (a-wtext.f:709)
  0.00      0.98     0.00     1540     0.00     0.00  prepc_ (a-wtext.f:1354)
  0.00      0.98     0.00     1540     0.00     0.00  preqc_ (a-wtext.f:1074)
  0.00      0.98     0.00     1535     0.00     0.00  chars3_ (a-wtext.f:4332)
  0.00      0.98     0.00     1508     0.00     0.00  acefcn_ (ggm04.f:987)
  0.00      0.98     0.00     1470     0.00     0.00  chars4_ (a-wtext.f:4514)
  0.00      0.98     0.00     1470     0.00     0.00  chars6_ (a-wtext.f:5078)
  0.00      0.98     0.00     1420     0.00     0.00  chars7_ (a-wtext.f:6973)
  0.00      0.98     0.00     1303     0.00     0.00  heatp_ (ggm04.f:1641)
  0.00      0.98     0.00     1203     0.00     0.00  jamcomp_ (jam.f:3639)
  0.00      0.98     0.00     1100     0.00     0.00  sigrc_ (getflt.f:2896)
  0.00      0.98     0.00      859     0.00     0.00  xstcas_ (ggm05.f:2704)
  0.00      0.98     0.00      780     0.00     0.00  xsrtbl_ (ggm05.f:3323)
  0.00      0.98     0.00      760     0.00     0.00  deqn0_ (a-utl00.f:693)
  0.00      0.98     0.00      534     0.00     0.00  write00_ (a-wtext.f:8294)
  0.00      0.98     0.00      517     0.00     0.00  kdata_ (ggm03.f:348)
  0.00      0.98     0.00      444     0.00     0.00  sctgam_ (ggm06.f:3)
  0.00      0.98     0.00      442     0.00     0.00  bbox_ (a-main1.f:18463)
  0.00      0.98     0.00      440     0.00     0.00  klnishi_ (ggm03.f:3)
  0.00      0.98     0.00      431     0.00     0.00  chlow_ (a-utl00.f:582)
  0.00      0.98     0.00      400     0.00     0.00  jamcpair_ (jamcross.f:7239)
  0.00      0.98     0.00      400     0.00     0.00  jamsighh_ (jamcross.f:7528)
  0.00      0.98     0.00      400     0.00     0.00  pymass_ (pyjet.f:6884)
  0.00      0.98     0.00      391     0.00     0.00  rnum_ (a-utl00.f:464)
  0.00      0.98     0.00      297     0.00     0.00  jnumc_ (utl03.f:1290)
  0.00      0.98     0.00      266     0.00     0.00  func02_ (a-func.f:860)
  0.00      0.98     0.00      250     0.00     0.00  dnen2_ (a-utl00.f:631)
  0.00      0.98     0.00      244     0.00     0.00  zonep_ (a-main1.f:3)
  0.00      0.98     0.00      226     0.00     0.00  deqn1_ (a-utl00.f:711)
  0.00      0.98     0.00      219     0.00     0.00  strwhb_ (a-main1.f:14473)
  0.00      0.98     0.00      211     0.00     0.00  chlngt_ (utl03.f:1324)
  0.00      0.98     0.00      211     0.00     0.00  inumc_ (utl03.f:1263)
  0.00      0.98     0.00      210     0.00     0.00  chcaps_ (utl03.f:1155)
  0.00      0.98     0.00      201     0.00     0.00  zspcreplace_ (errcheck.f:180)
  0.00      0.98     0.00      200     0.00     0.00  jamcbb_ (jamcross.f:568)
  0.00      0.98     0.00      200     0.00     0.00  jamcltyp_ (jamcoll.f:1060)
  0.00      0.98     0.00      200     0.00     0.00  jamcross_ (jamcross.f:64)
  0.00      0.98     0.00      200     0.00     0.00  jamsetpa_ (jam.f:3773)
  0.00      0.98     0.00      200     0.00     0.00  jamxnn_ (jamcross.f:5225)
  0.00      0.98     0.00      200     0.00     0.00  sigjam_ (jamin.f:1805)
  0.00      0.98     0.00      192     0.00     0.00  func05_ (a-func.f:1882)
  0.00      0.98     0.00      184     0.00     0.00  func01_ (a-func.f:3)
  0.00      0.98     0.00      184     0.00     0.00  func03_ (a-func.f:1215)
  0.00      0.98     0.00      184     0.00     0.00  func10_ (a-func.f:3071)
  0.00      0.98     0.00      184     0.00     0.00  func12_ (a-func.f:3254)
  0.00      0.98     0.00      180     0.00     0.00  pnum_ (a-utl00.f:328)
  0.00      0.98     0.00      166     0.00     0.03  readl_ (utl03.f:3)
  0.00      0.98     0.00      166     0.00     0.00  wstrg_ (a-wtext.f:9830)
  0.00      0.98     0.00      116     0.00     0.00  nsf_ (ggs01.f:1923)
  0.00      0.98     0.00      106     0.00     0.00  deqn5_ (a-utl00.f:789)
  0.00      0.98     0.00      106     0.00     0.00  onum_ (utl03.f:928)
  0.00      0.98     0.00       80     0.00     0.00  calc_stdev_ (statistic.f:2)
  0.00      0.98     0.00       72     0.00     0.00  prtex0_ (a-wtext.f:336)
  0.00      0.98     0.00       72     0.00     0.00  psufx_ (a-wtext.f:2079)
  0.00      0.98     0.00       72     0.00     0.28  wtext_ (a-wtext.f:3070)
  0.00      0.98     0.00       71     0.00     0.00  idd2_ (a-utl00.f:528)
  0.00      0.98     0.00       67     0.00     0.00  jpncode_ (a-wtext.f:3)
  0.00      0.98     0.00       67     0.00     0.00  jpnprep_ (a-wtext.f:62)
  0.00      0.98     0.00       66     0.00     0.00  dcom3_ (a-utl00.f:827)
  0.00      0.98     0.00       54     0.00     0.00  snum_ (utl03.f:731)
  0.00      0.98     0.00       50     0.00     0.00  erf2_ (ggm03.f:597)
  0.00      0.98     0.00       45     0.00     0.00  __ngsdatamod_MOD_bindeg (ngsdatamod.f:10253)
  0.00      0.98     0.00       45     0.00     0.00  __ngsdatamod_MOD_weitn (ngsdatamod.f:10214)
  0.00      0.98     0.00       45     0.00     0.00  alphb_ (a-wtext.f:3004)
  0.00      0.98     0.00       42     0.00     0.00  echmty_ (tallsm3.f:14612)
  0.00      0.98     0.00       40     0.00     0.00  inqire_ (ggm03.f:109)
  0.00      0.98     0.00       39     0.00     0.00  leng_ (ggm03.f:136)
  0.00      0.98     0.00       30     0.00     0.00  atitle_ (a-main1.f:10660)
  0.00      0.98     0.00       30     0.00     0.00  kfcname_ (utl01.f:345)
  0.00      0.98     0.00       29     0.00     0.00  deqn4_ (a-utl00.f:770)
  0.00      0.98     0.00       28     0.00     0.00  namchg_ (ggs00.f:3442)
  0.00      0.98     0.00       27     0.00     0.00  echprt_ (tallsm3.f:14348)
  0.00      0.98     0.00       26     0.00     0.00  fastdw_ (ggm03.f:549)
  0.00      0.98     0.00       20     0.00     0.00  calc_deposit_stdev_ (statistic.f:272)
  0.00      0.98     0.00       20     0.00     0.00  dcom2_ (a-utl00.f:808)
  0.00      0.98     0.00       19     0.00     0.00  setcv_ (a-func.f:3474)
  0.00      0.98     0.00       19     0.00     0.00  setcvp_ (utl03.f:694)
  0.00      0.98     0.00       16     0.00     0.06  readm_ (utl03.f:384)
  0.00      0.98     0.00       15     0.00     0.00  ftdfn_ (a-main1.f:19060)
  0.00      0.98     0.00       15     0.00     0.00  tapefl_ (ggm02.f:6688)
  0.00      0.98     0.00       14     0.00     0.23  getmsh_ (tallsm1.f:10596)
  0.00      0.98     0.00       13     0.00     0.00  fastdr_ (ggm03.f:520)
  0.00      0.98     0.00       13     0.00     0.00  redxst_ (ggm02.f:2710)
  0.00      0.98     0.00       12     0.00     0.00  kfft_ (utl02.f:216)
  0.00      0.98     0.00       12     0.00     0.00  trckech_ (tallsm3.f:4665)
  0.00      0.98     0.00       10     0.00     2.00  a_angel_ (a-angel.f:3)
  0.00      0.98     0.00       10     0.00     0.00  date_a_time_ (mdp-uni90.f:82)
  0.00      0.98     0.00       10     0.00     0.00  prestart_ (restart.f:3)
  0.00      0.98     0.00       10     0.00     0.00  rdpname_ (tallsm1.f:3695)
  0.00      0.98     0.00       10     0.00     0.00  tallsave_ (tallsm1.f:3622)
  0.00      0.98     0.00       10     0.00     0.00  wline01_ (a-line.f:387)
  0.00      0.98     0.00       10     0.00     0.00  wtpname_ (tallsm3.f:14231)
  0.00      0.98     0.00       10     0.00     0.00  xyrmax_ (a-main1.f:10795)
  0.00      0.98     0.00       10     0.00     0.00  xytic_ (a-main1.f:10912)
  0.00      0.98     0.00        8     0.00     0.03  anatal_readlt_ (anatally.f:1610)
  0.00      0.98     0.00        8     0.00     2.00  ptracrz_ (talls01.f:20557)
  0.00      0.98     0.00        8     0.00     0.00  readnc_ (read02.f:22467)
  0.00      0.98     0.00        8     0.00     0.00  sufchk_ (ggs01.f:3939)
  0.00      0.98     0.00        7     0.00     0.00  expung_ (ggm02.f:2945)
  0.00      0.98     0.00        7     0.00     0.00  tmpneu_ (ggm02.f:6612)
  0.00      0.98     0.00        6     0.00     0.00  dcols_ (a-utl00.f:924)
  0.00      0.98     0.00        5     0.00     0.00  __partmod_MOD_allocate_part_temp (partmod.f:29)
  0.00      0.98     0.00        5     0.00     0.00  __talmod_MOD_calc_talsize (talmod.f:32)
  0.00      0.98     0.00        5     0.00     4.00  a_main0_ (a-main0.f:3)
  0.00      0.98     0.00        5     0.00     0.00  chue_ (a-utl00.f:1200)
  0.00      0.98     0.00        5     0.00     0.00  closef_ (a-utl00.f:53)
  0.00      0.98     0.00        5     0.00     1.50  commt0_ (a-main1.f:22688)
  0.00      0.98     0.00        5     0.00     0.00  cput_a_ (mdp-uni90.f:38)
  0.00      0.98     0.00        5     0.00     0.00  hone2_ (a-hsect.f:2004)
  0.00      0.98     0.00        5     0.00     0.00  hone_ (a-hsect.f:3)
  0.00      0.98     0.00        5     0.00     0.00  inpdat_ (a-main1.f:25493)
  0.00      0.98     0.00        5     0.00     0.00  lgline_ (a-main1.f:8190)
  0.00      0.98     0.00        5     0.00     0.00  para_ (a-main1.f:38)
  0.00      0.98     0.00        5     0.00     0.00  preline_ (a-line.f:262)
  0.00      0.98     0.00        5     0.00     0.00  seqlin_ (a-main1.f:20142)
  0.00      0.98     0.00        5     0.00     0.00  summary_param_resfile_ (tallsm2.f:41028)
  0.00      0.98     0.00        5     0.00     0.49  trzmesh_ (tallsm1.f:7590)
  0.00      0.98     0.00        5     0.00     0.00  wcmt_ (a-main1.f:3773)
  0.00      0.98     0.00        5     0.00     1.39  wfrmg_ (a-main1.f:20298)
  0.00      0.98     0.00        5     0.00     0.56  wftat_ (a-main1.f:20539)
  0.00      0.98     0.00        5     0.00     0.00  whone_ (a-line.f:3)
  0.00      0.98     0.00        5     0.00     0.28  wlgnd_ (a-main1.f:22315)
  0.00      0.98     0.00        5     0.00     0.00  writehd_ (a-main1.f:13155)
  0.00      0.98     0.00        4     0.00     0.00  char_int_ (dedx_file.f:615)
  0.00      0.98     0.00        4     0.00     0.16  tmultipl_ (tallsm1.f:9814)
  0.00      0.98     0.00        4     0.00     1.46  ttrack_ (tallsm2.f:14330)
  0.00      0.98     0.00        3     0.00     0.00  depstech_ (tallsm3.f:3238)
  0.00      0.98     0.00        3     0.00     0.00  timex_ (utl01.f:86)
  0.00      0.98     0.00        2     0.00     0.00  __lafdatamod_MOD_init_laf (lafdatamod.f:9)
  0.00      0.98     0.00        2     0.00     0.00  celsuf_ (ggs01.f:4601)
  0.00      0.98     0.00        2     0.00     0.00  chkcdf_ (ggs00.f:2694)
  0.00      0.98     0.00        2     0.00     0.00  eventanalyz_ (talls08.f:3)
  0.00      0.98     0.00        2     0.00     0.00  flugam_ (ggm06.f:2776)
  0.00      0.98     0.00        2     0.00     0.00  isos_ (ggm05.f:4809)
  0.00      0.98     0.00        2     0.00     0.00  mbody2_ (ggs01.f:3292)
  0.00      0.98     0.00        2     0.00     2.00  pdepstrz_ (talls06.f:18668)
  0.00      0.98     0.00        2     0.00     0.00  sect_a_ (mdp-uni90.f:3)
  0.00      0.98     0.00        1     0.00   970.00  MAIN__ (main.f:2)
  0.00      0.98     0.00        1     0.00     0.00  __dedx_file_MOD_dedx_file_allocate (dedx_file.f:34)
  0.00      0.98     0.00        1     0.00     0.00  __dedx_file_MOD_dedx_file_deallocate (dedx_file.f:53)
  0.00      0.98     0.00        1     0.00     0.00  __eledatamod_MOD_allocate_frac_ichem (elemdatamod.f:446)
  0.00      0.98     0.00        1     0.00     0.00  __eventtalmod_MOD_allocate_eventtal (eventtalmod.f:32)
  0.00      0.98     0.00        1     0.00     0.00  __eventtalmod_MOD_allocate_eventtal_itr (eventtalmod.f:565)
  0.00      0.98     0.00        1     0.00     0.00  __eventtalmod_MOD_deallocate_eventtal (eventtalmod.f:860)
  0.00      0.98     0.00        1     0.00     0.00  __eventtalmod_MOD_deallocate_eventtal_itr (eventtalmod.f:867)
  0.00      0.98     0.00        1     0.00     0.00  __ggbankmod_MOD_allocate_ggbank (ggbankmod.f:11)
  0.00      0.98     0.00        1     0.00     0.00  __ggbankmod_MOD_deallocate_ggbank (ggbankmod.f:18)
  0.00      0.98     0.00        1     0.00     0.00  __ggmarraymod_MOD_allocate_ggmarray (ggmarraymod.f:52)
  0.00      0.98     0.00        1     0.00     0.00  __ggmarraymod_MOD_allocate_ixs (ggmarraymod.f:110)
  0.00      0.98     0.00        1     0.00     0.00  __ggmbankmod_MOD_allocate_ggmbank (ggmbankmod.f:17)
  0.00      0.98     0.00        1     0.00     0.00  __ggmbankmod_MOD_deallocate_ggmbank (ggmbankmod.f:24)
  0.00      0.98     0.00        1     0.00     0.00  __ggmbankmod_MOD_init_ggmbank (ggmbankmod.f:30)
  0.00      0.98     0.00        1     0.00     0.00  __lafdatamod_MOD_deallocate_laf (lafdatamod.f:36)
  0.00      0.98     0.00        1     0.00     0.00  __levdenmod_MOD_sstbl (levdenmod.f:831)
  0.00      0.98     0.00        1     0.00     0.00  __membankmod_MOD_allocate_membank (membankmod.f:65)
  0.00      0.98     0.00        1     0.00     0.00  __membankmod_MOD_deallocate_membank (membankmod.f:133)
  0.00      0.98     0.00        1     0.00     0.00  __mmbankmod_MOD_allocate_mmbank (mmbankmod.f:68)
  0.00      0.98     0.00        1     0.00     0.00  __mmbankmod_MOD_deallocate_mmbank (mmbankmod.f:126)
  0.00      0.98     0.00        1     0.00     0.00  __mod_counter_MOD_allocate_evts (mod_counter.f:32)
  0.00      0.98     0.00        1     0.00     0.00  __mod_counter_MOD_deallocate_evts (mod_counter.f:50)
  0.00      0.98     0.00        1     0.00     0.00  __mod_counter_MOD_init_evts (mod_counter.f:62)
  0.00      0.98     0.00        1     0.00     0.00  __ngsdatamod_MOD_fstbl (ngsdatamod.f:10118)
  0.00      0.98     0.00        1     0.00     0.00  __ngsdatamod_MOD_gstbl (ngsdatamod.f:10057)
  0.00      0.98     0.00        1     0.00     0.00  __partmod_MOD_allocate_part (partmod.f:89)
  0.00      0.98     0.00        1     0.00     0.00  __partmod_MOD_deallocate_part (partmod.f:145)
  0.00      0.98     0.00        1     0.00     0.00  __partmod_MOD_set_angellines (partmod.f:162)
  0.00      0.98     0.00        1     0.00     0.00  __qmd_cood2_mod_MOD_cooddealloc (qmd_cood2_mod.f:334)
  0.00      0.98     0.00        1     0.00     0.00  __restalmod_MOD_allocate_restal (restalmod.f:21)
  0.00      0.98     0.00        1     0.00     0.00  __restalmod_MOD_deallocate_restal (restalmod.f:409)
  0.00      0.98     0.00        1     0.00     0.00  __sangelmod_MOD_allocate_sangel (sangelmod.f:21)
  0.00      0.98     0.00        1     0.00     0.00  __sangelmod_MOD_deallocate_sangel (sangelmod.f:48)
  0.00      0.98     0.00        1     0.00     0.00  __talmod_MOD_allocate_tal (talmod.f:427)
  0.00      0.98     0.00        1     0.00     0.00  __talmod_MOD_deallocate_tal (talmod.f:472)
  0.00      0.98     0.00        1     0.00     0.00  __talmod_MOD_init_talmod (talmod.f:18)
  0.00      0.98     0.00        1     0.00     0.00  anatal_echo_ (anatally.f:2156)
  0.00      0.98     0.00        1     0.00     0.00  caltot_ (risource.f:6093)
  0.00      0.98     0.00        1     0.00     0.00  copyin_egs5_ (egs5init2.f:29)
  0.00      0.98     0.00        1     0.00     0.00  datamaxsummary_ (ggm08.f:1733)
  0.00      0.98     0.00        1     0.00     0.00  echoi_ (read00.f:17079)
  0.00      0.98     0.00        1     0.00     0.00  echsrst_ (read00.f:28121)
  0.00      0.98     0.00        1     0.00     0.16  gcell_ (read03.f:3)
  0.00      0.98     0.00        1     0.00     0.00  getxst_ (ggm02.f:1923)
  0.00      0.98     0.00        1     0.00     0.20  gsurf_ (read03.f:2025)
  0.00      0.98     0.00        1     0.00     0.00  init_anatal_ (anatally.f:3)
  0.00      0.98     0.00        1     0.00     0.00  init_sors_ (sors.f:3911)
  0.00      0.98     0.00        1     0.00     0.00  init_sumtal_ (sumtally.f:3)
  0.00      0.98     0.00        1     0.00     0.00  jxsdir_ (ggm02.f:889)
  0.00      0.98     0.00        1     0.00     0.00  masatm_ (ggm02.f:1483)
  0.00      0.98     0.00        1     0.00     0.92  mater_ (read02.f:21502)
  0.00      0.98     0.00        1     0.00     0.00  parabcsti_ (mpi-non.f:72)
  0.00      0.98     0.00        1     0.00     0.00  parafin_ (mpi-non.f:31)
  0.00      0.98     0.00        1     0.00     0.00  paraint_ (mpi-non.f:8)
  0.00      0.98     0.00        1     0.00     0.32  param_ (read02.f:22689)
  0.00      0.98     0.00        1     0.00    10.00  read00_ (read00.f:3)
  0.00      0.98     0.00        1     0.00     0.42  read_anatal_ (anatally.f:88)
  0.00      0.98     0.00        1     0.00     0.00  ripmake_ (read02.f:19883)
  0.00      0.98     0.00        1     0.00     0.00  set_anatal_ (anatally.f:506)
  0.00      0.98     0.00        1     0.00     0.00  set_libcsmax_ (ggm08.f:1543)
  0.00      0.98     0.00        1     0.00     0.00  set_sangel_ (sangel.f:172)
  0.00      0.98     0.00        1     0.00     0.00  set_sumtal_ (sumtally.f:499)
  0.00      0.98     0.00        1     0.00     0.00  setbnk_ (read00.f:2213)
  0.00      0.98     0.00        1     0.00     0.00  setcg_ (marscg.f:573)
  0.00      0.98     0.00        1     0.00     0.00  setgg_ (ggs00.f:3)
  0.00      0.98     0.00        1     0.00     0.00  setmat_ (ggm02.f:3)
  0.00      0.98     0.00        1     0.00     0.00  setmd_ (ggm01.f:3)
  0.00      0.98     0.00        1     0.00     0.00  setpag_ (read00.f:11213)
  0.00      0.98     0.00        1     0.00    10.00  setpar_ (read00.f:2538)
  0.00      0.98     0.00        1     0.00     0.00  setresval_ (restart.f:727)
  0.00      0.98     0.00        1     0.00     0.00  setrnd_ (randmc.f:3)
  0.00      0.98     0.00        1     0.00     0.00  setrnd_restart_ (restart.f:673)
  0.00      0.98     0.00        1     0.00     0.00  setrnd_xorshift_ (randmc.f:139)
  0.00      0.98     0.00        1     0.00     0.00  settal_ (tallsm1.f:3)
  0.00      0.98     0.00        1     0.00     0.00  setxst_ (ggm02.f:1736)
  0.00      0.98     0.00        1     0.00     0.00  sourcecheck_ (errcheck.f:161)
  0.00      0.98     0.00        1     0.00     0.65  sours_ (read02.f:12569)
  0.00      0.98     0.00        1     0.00     0.06  stbatm_ (tallsm1.f:11268)
  0.00      0.98     0.00        1     0.00     0.00  sumcput_ (analyz.f:9075)
  0.00      0.98     0.00        1     0.00     0.00  sumout_ (analyz.f:2112)
  0.00      0.98     0.00        1     0.00     0.98  tdeposit_ (tallsm2.f:9615)
  0.00      0.98     0.00        1     0.00     0.10  title_ (read02.f:25340)
Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 25.31      6.22     6.22 887640820     0.00     0.00  subt_ (photnucl.f:15604)
 18.51     10.77     4.55    23468     0.00     0.00  gradur_ (qmdmfld.f:338)
 15.01     14.46     3.69  2948540     0.00     0.00  q1_ (photnucl.f:15575)
 11.03     17.17     2.71    23681     0.00     0.00  caldisar_ (qmdmfld.f:26)
  3.74     18.09     0.92   287234     0.00     0.00  dcadre_ (egs5.f:9173)
  3.34     18.91     0.82  1550024     0.00     0.00  epotprtr_ (qmdmfld.f:921)
  3.01     19.65     0.74 23794756     0.00     0.00  fmino_ (muonint.f:1668)
  2.81     20.34     0.69 28899565     0.00     0.00  aintp_ (egs5.f:8270)
  2.81     21.03     0.69 26612944     0.00     0.00  erf_ (qmdinit.f:898)
  2.12     21.55     0.52  5151190     0.00     0.00  dbvalu_ (atima01.f:2917)
  1.14     21.83     0.28  2951900     0.00     0.00  vcm_ (photnucl.f:15560)
  0.81     22.03     0.20  1231724     0.00     0.00  sigma_delta_ (photnucl.f:15742)
  0.69     22.20     0.17  9068708     0.00     0.00  pairfz_ (egs5.f:10820)
  0.45     22.31     0.11      124     0.00     0.00  fshadoweg_ (photnucl.f:16061)
